pr;DB;Interpreter;Logging;Thread;Data Structure;DevOps;i18n;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;App;GIS;Util;NLP;APM;Network;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;new sorting/export preferences;this will add a new  file sorting  tab to the preferences that allows to exactly specify the sort and export order of entries  rather than the rather limited set of choices that were available to date.;;;;;;;;;1;0;;
7;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;i have implemented 2 features requested in ticket #841.;the user can now specify an arbitrary number of file-link columns in te  entry table columns  preferences tab  to be added to the main table. the user can any file types specified in the list of external file types. the extra columns work exactly like the original file-link column.  for each file-link column whenever there are multiple files  the letter  m  is displayed at the bottom right corner of the icon.       committer: noravanq   on branch master  changes to be committed:    (use  git reset head <file>  to unstage)      modified:   src/main/java/net/sf/jabref/guiglobals.java modified:   src/main/java/net/sf/jabref/jabrefpreferences.java modified:   src/main/java/net/sf/jabref/tablecolumnstab.java modified:   src/main/java/net/sf/jabref/gui/maintableformat.java modified:   src/main/java/net/sf/jabref/gui/maintableselectionlistener.java modified:   src/main/java/net/sf/jabref/gui/preventdraggingjtableheader.java;;;;;;;;;1;0;;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;try to fix some obvious bugs about  groups;hi all  i just upgraded to 2.10 and i found some bugs immediately. 1. in the right-click-menu there is no  move-to-group  but 2  remove from group  instead. 2. i like the new add/remove/move panel  but the scrolling is not working  which is a big problem. because i have lots of groups which cannot even fit into the full screen height after expansion. 3. no way to expand or collapse all nodes  i tried the dev version  all problems still exist. here is my fixation.  cheers   w.l.;;;;;;;;;1;0;;
11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;bugfix for bug  #880 pubmed import broken;found bug: pubmed/medline plain format recognized as ris format. provided solution:     - modified ris importfilter. now ris format is identified by looking for the  ty  tag (it is a mandatory tag in ris format and it is not conflictual with other filters)     - added new importfilter  medlineplain . this import filter parses medline files in plain format (not xml). the import filter has been produced referring to the official medline documentation (     - updated the net.sf.jabref.core plugin.xml file in order to include the newly added medlineplain import filter;;;;;;;;;1;0;;
13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;language locale fix for bug959;i tried to change hard code with in-code strings to global.lang and changed icon for dialogue window from warning to error.;;;;;;;;;1;0;;
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;make (un)abbreviating journal titles also work on the journaltitle field;i ve (i) added the toggle button to the  journaltitle  field editor and (ii) made the abbreviate/unabbreviate actions change both the  journal  and  journaltitle  fields. the latter might be a bit simple-minded --  should the field to consider depend on whether biblatex mode is actually turned on?;;;;;;;;;1;0;;
18;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;fix edits getting lost in biblatex mode;this fixes a bug where edits made in a field on a compressedentryeditortab wouldn t get stored when the field editor lost focus. the bug was caused by entryeditortabfocuslistener accessing the unused inherited parent field of compressedentryeditortab instances instead of the latter class s own (private) parent field. instead of doing just a quick fix  i decided to eliminate the excessive code and data duplication in the two classes altogether and consolidate them into one class (with an additional flag to the constructor)  since i don t think an extra class is warranted here (and easily and sensibly implementable by derivation).;;;;;;;;;1;0;;
19;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;fix error when setting unset field in source panel;when the user tries to set a previously unset field of an entry via the source panel of the entry editor  the program complains with an error message and refuses to store the field values. this change fixes that behaviour.;;;;;;;;;1;0;;
22;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;extended the  unknown entry type  error message;i had problems locating which entry had this unknown entry type and hence extended the error message to also include the bibtex key.;;;;;;;;;1;0;;
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;extend biblatex: support for alias fields;- added support for aliased fields. for example  the content in the  journaltitle  field is also shown in the  journal  table. - added cleanup option to convert to the new biblatex format - modified the required/optional fields for biblatex entries to reflect the above changes (the  year  field is no longer required);;;;;;;;;1;0;;
