issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
314,491,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,add close all others in database tab menu see changelog is missing otherwise +
669,677,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,make bibtex parser more robust against missing newlines as described in and the parser has some problems when an entry or preamble follows directly the file encoding header on the same line ie % encoding myencoding article{} actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for and since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content + except my minor comment corrected for some reason the code style was not imported correctly in intellij hm i just use the default intellij code style tobiasdiez what do you think should be done to fix the above issues completely lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now including a bit of refactoring to make testing easier tobiasdiez ok good to hear ill concentrate on other issues then
454,734,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,add an optional tab that shows fields that are not displayed inside tâ€¦ â€¦he predefined tabs
455,915,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,add button in preference dialog to reset preferences implements and or change in changelogmd described only ui change nice looks good but i would add a note that resetting the perferences requires a restart see change the language or the remote settings good point an info message is now shown looks good to me
707,925,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,add tests for metadata parsing this solves and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata in fact can be replaced by these new methods i think this is something for a new prone question to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters + when is the equals required except for simplifying this test seems like one can add them later if requiredthe pr looks good no as far as i can see equals is never used for the formatters and also no getkey equals which could be replaced with an internal equals
936,937,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,preview panel is now updated when an entry is cut deleted when an entry is cut deleted the preview panel will be hidden due to the fact that no entry is selected anymore change in changelogmd described looks good + + + does the panel show up again when selecting another entry after deleting one if so + yes it does we really should consider to implement an event system + for the event system maybe use the stuff that comes with google guava
1012,1014,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,improved exception handling in tests cases never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref good work + siedlerchr btw you should assign your commit email with your github account see oscargus fixed stefan kolb i just added my git mail address to my github account as secondary mail address was done by eclipse will change this back
963,1041,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,write database type in lower case into the bib file this finally a quick fix has been introduced in eea e but that does not cover the lower case writing of the type comment{jabref meta database_type bibtex} finally gets comment{jabref meta databasetype bibtex} change in changelogmd described this has been introduced in the development versions after the last release thus no entry required tests have been adapted to match this new implementation is the parsing case insensitive is that tested oscargus the value is parsed case insensitive
1055,1056,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,fixes npe in export to external db fixes npe in export to external dbadd db type to export succesful messagereformatting no changelog because i think it was new introduced by the redesign of the entry sorting passing null export now all entries by default
1163,1168,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,by removing the strange functionality which enabled sortingâ€¦ we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that means this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs lgtm + lgtm + should we readd yearutil as a cleanup to convert two digit years to four digit years if we add it we should make use of the java functionality instead of the own ugly parsing this one http stackoverflowcom questions parsing string to local date doesnt use desired century
936,1192,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,preview panel is now updated when an entry is cut deleted again when i fixed some time ago pr i made a tiny errorthe issue was to hide the preview panel when deleting cutting an entry but it also hid it when aborting the delete confirmation dialogi too refactored both actions a little to make it easier for future changesi also removed in undoableremoveentry and undoableinsertentry the id generation
1091,1229,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,apply and ensure correct import sort order see + lgtm +
871,1298,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,added option to copy version information in the about dialog added option to copy version information of jabref in the about dialog as described in this will help with filing issues and bug reports as the version of jabref os and java will be copied change in changelogmd described screen shot at https cloudentcom assets a bbc b e bbf b cb b cdpng just one minor comment otherwise this looks good please rebase current coverage is % merging into master will decrease coverage by powered by codecov last updated by a f https codecovio gh jabref jabref compare a da e e b c a b ca f c e a aae b c f dd a a f
1312,1318,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,update localization instructions corrected gradlew task name koppor stefan kolb please check the order of the imports hm will check my eclipse settings again gradlew eclipse should be enough we are generating the correct settings no need for manual intervention koppor fixed the import order the setting was not activated in my eclipse saving options current coverage is % merging into master will not change coverage diff master diff files lines methods messages branches hits misses partials powered by codecov last updated by aa b lgtm +
135,1388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fix sorting issue the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog
1063,1397,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,add fields for nbibimporter and add testfile regarding medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found here you should also record your changes in the readme lgtm for somehow the travis ci is failing because an integration test scrollingthroughentrylist fails lgtm too just some minor remarks for readability
1342,1429,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,show description of case converters as tooltip change in changelogmd described lgtm +
1420,1440,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,auto downloader should respect file pattern and propose correct filename https cloudentcom assets a fa e a cfac d png lgtm lgtm +
651,1443,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,improve parsing of author names containing braces change in changelogmd described lgtm
888,1453,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,refactor placement of parsing and writing logic according to the following conventions all objects which can be read from a string have public static type parse stringy input method all objects which can be written to a string have a public stringy getasstring methodshould change in changelogmd described i am still an advocate of separate read write classes which handle the serialization in both ways because using an interface with fromstring tostring methods would allow to make this more explicit in the code and ensure that these methods are not renamed by accident using separate classes for reading writing would make the classes themselfs smaller and allow a better separation of concern easier to test as one only needs to look at a single cread write class with its own test yes you are right that separate read write classes are probably even better nonetheless i find the changes made in this pr are still an improvement and im quite satisfied with the result satisfied enough to have no motivation for introducing new read write classes i changed the names thanks for the feedback
1444,1487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,implement getextension and getdescription for importers implement getextension and getdescription for importers change in changelogmd described please fix the minor things after this mark it again for ready for review and we will merge this in
1249,1584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,added layout dateformatter see added a configurable layout formatter for dates change in changelogmd described lgtm just merge after you removed the generated comment
1592,1599,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,fixed this should change in changelogmd described lgtm
1288,1671,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,newly opened bib file is not focused open a new file and it is correctly focused afterwards open a file that was already opened before is correctly focused afterwards open a file two times and it is only opened once matthiasgeiger should work now smile lgtm apart from the minor comments via skype wink
1881,1888,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,do not mark a new database as changed i missed an if statement when inverting an if else in ~~ change in changelogmd described~~ introduced in development version only fortunately manually tested changed features in running jabref
