issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,Search,IO,UI,Parser,Security,App,corpus
3645.0,3665,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,migrate importer tests to junit5 in the course of we realized that our current (junit4) parameterized tests are not executed on the (junit5) travis build this is tracked here: #3645 i think this is a huge problem because we are missing out on a lot of validation here this pr is a migration of the paramterized ris tests from junit 4 to junit 5 id like to put this forward to discussion so that we can agree on how our parameterized junit 5 tests are to look like when we have agreed we can migrate all tests so please look at the code and write if you are happy with this[note that parameters cannot be resolved for lifecycle methods]( (`@beforeeach`) in junit 5 hence the structure in the pr----- change in changelogmd described- - ()- manually tested changed features in running jabref- ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) @tobiasdiez thanks a lot for the feedback! - regarding test arguments: i dont really see the point in splitting the single argument into two we have used the convention that the `bib` and `importerformat` files have the same name and why not keep leveraging that? also i find it better to do the path conversion in one place only but if we want to pass a stream of paths we always have to do that beforehand - regarding unification of importer tests: i have refactored around a little and arrived at a solution that should work for all importers i quite like how that condenses the `risimportertestfiles` classfun fact: i may have used junit 5 paramterization but so far the assertions were still junit 4 ill change that in the following || the importer tests where running for each file but that seems to have been ignored in the migration process by the junit 5 compi looked at this too but didnt find a way to get it to work again || yes indeed ill gradually go through all parameterized importer tests and try to get them working in junit 5 syntax again as part of this pr || turns out quite a lot of tests for different importers (bibtexml medline tested so far) actually fail and this is down to the implementations of the importers seems like these tests have never been executed beforei am not sure what to do about this here the point of this pr was a refactoring of the testing code not a repair of broken importers || i would merge this if all tests are at least executed or better you merge this in a new branch where we will fix the importer then || i converted and some fetcher tests in another pr i found that the gvk test would also be a goo candidate for using the same schema as here || i have now migrated the complete importer tests to junit5 syntaxsadly they are in a dire state a lot of them are actually failing and seemed to have never been executed anyway and even except from the refactorings that i have already done there as a lot of things that can still be improvedi think its best if we take the current (failing) state and try to repair each importer and its tests here in the pr this might be some work but the importer tests cannot really continue as broken as they are now help on this is very much appreciated and should be possible without conflicts || you can ignore the failing fetcher test this is already fixed but i wonder why there is now an npe with the method source || i should have more meetings so that i get more programming done :)i think i have repair all importers and their tests now ill see what travis says and ill also do one more round of refactoring on the code (not now) when i am done this can hopefully be lgtm! if you merge master in your branch you will get the fetcher test fixed as well || ok this can be merged from my point of viewalthough this is already a huge refactoring of the existing tests theres certainly more that can be improved i have a few things in mind but i would rather keep them out of this already big pr ill tackle them later when this is merged || that looks weird indeed looking at the first one: the `importdatabase` method is recorded as not covered but when i execute the tests in intellij there are twenty test files for that method alone the key seems to be that the missing methods are the ones that use junit5 parameterized tests it seems that codecov does not record the coverage of these tests but they are the core tests of the whole packagebut maybe the problem is still travis? how do i see from our travis output that the tests are really executed? i can push a failing test deliberately but there surely is a better way? || since the travis log contains statement like >13 57686 [main] warn orgjabreflogicmsbibmsbibdatabase - could not parse documenti suppose the tests are correctly invoked (in fact the travis log exploded even more) probably there is a problem with the gradle task `jacocojunit5testreport` (but there is no need to fix this in this pr) || i would merge this in and i think tthere might be a solution for the reports: ||
3648.0,3670,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3648: chained modifiers work again -->3648 the problem was that `resultinglabel formatterget()format(label)` always used the original input and not the result of the previous modifier----- change in changelogmd described- - ()- manually tested changed features in running jabref- ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)
364.0,3709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,group separator escaping 3646
2617.0,3766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,update architecture tests to catch static imports fixes a part of #2617updates the architecture tests to junit5 and also catches violations in static imports now i tested this by adding a static import and checking that the build breaks it does but of course i had to remove the cause again----- change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)
3885.0,3887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,improvements around external file types ( ( because github does not support autolinking there -->i tried to implement #3885 but changes of the file type in the linked file editor are not saved for some reason ill investigate this again after is mergedthus only some relative minor code improvements / fixes:- refactor external file type classes and extract a common `externalfiletype` interface- extract all built-in file types to separate enum (implementing `externalfiletype`)- fix display of external file type editor dialog (which is not shown in the current maintable-beta version)----- change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) since this pr is now ready for review over a month ill merge it despite not having any feedback so far ||
3929.0,3931,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3929 correct fetcher messages 3929 @siedlerchr we do?! ||
3269.0,3954,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,add button-icon for union/intersection in the groups side panel 3269fix display of state for union/intersection in preferencesas we currently unfortunately dont have icons for set intersection/union `set-center` and `set-all` in the material design font i used the www and the twitter icon to demonstrate the purpose @halirutan will then try to integrate the correoct icons in jabref ( ( because github does not support autolinking there -->( change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) @tobiasdiez is this now okay? then you could merge it with co-authors || @tobiasdiez the issues you m entionend || i fixed the remaining issues and i am going to merge this one now ||
3860.0,3965,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,url column this 3860 url column now shows url or doi correctly and opens on click----- change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) hi @florian-beetz since you have been involved in the maintable migrations do you want to join tomorrows devcall at 11 am? drop me a note by mail (linus@lynyusde) cheers linus || okay merging this in order to move on i have created another issue to track the tooltips @florian-beetz wants to continue with that as the next pr? ( ||
3966.0,3968,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,fix ieee fetcher by enabling cookie support 3966 apparently when in vpn network of university ieee fulltext fetcher needs cookie support enabled ( ( because github does not support autolinking there -->----- change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)
3966.0,3970,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,fixieee 3966 followup from my previous prnow document links in the format ` are supported tooand i also tested the paper linked in the issue from university network that works fine too ( ( because github does not support autolinking there -->----- change in changelogmd described- - manually tested changed features in running jabref- ()- ( ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)
